text,label,sentiment,urgency,resolution_status
I was charged incorrectly on my bill.,refund,positive,low,resolved
How do I reset my password?,login_issue,negative,low,pending
The customer service number is not working.,service_issue,negative,low,resolved
"My credit card was declined, what now?",upgrade,neutral,medium,resolved
How do I reset my password?,account_update,positive,low,resolved
My login credentials are not working.,technical_support,neutral,medium,resolved
My order has not arrived yet.,app_crash,positive,low,resolved
Can I upgrade my current subscription plan?,upgrade,neutral,low,unresolved
How do I change my delivery address?,account_issue,negative,high,unresolved
"My credit card was declined, what now?",returns,positive,low,pending
Can I upgrade my current subscription plan?,login_issue,positive,medium,resolved
My order has not arrived yet.,service_issue,positive,low,resolved
"My credit card was declined, what now?",login_issue,neutral,high,resolved
"I received a wrong item, can I exchange it?",login_issue,positive,low,unresolved
The customer service number is not working.,login_issue,negative,medium,unresolved
"My credit card was declined, what now?",human_agent,negative,high,resolved
"My credit card was declined, what now?",app_crash,positive,low,unresolved
Can I upgrade my current subscription plan?,order_status,negative,low,unresolved
I am unable to track my package.,delivery,positive,medium,resolved
How do I return an item I purchased?,payment_issue,positive,low,pending
I am unable to track my package.,tracking,negative,high,resolved
Can I get a refund for my last purchase?,tracking,negative,medium,resolved
The internet connection is too slow.,account_update,neutral,high,resolved
Can I upgrade my current subscription plan?,order_status,negative,high,pending
"My payment failed, what should I do?",returns,neutral,medium,pending
Can I get a refund for my last purchase?,app_crash,positive,high,unresolved
I was charged incorrectly on my bill.,app_crash,negative,medium,resolved
Can I upgrade my current subscription plan?,refund,neutral,high,resolved
I am unable to track my package.,upgrade,positive,high,unresolved
My order has not arrived yet.,tracking,negative,medium,pending
The customer service number is not working.,card_declined,positive,low,unresolved
I was charged incorrectly on my bill.,discount,positive,low,resolved
Why is my order status still pending?,payment_issue,positive,medium,unresolved
How do I return an item I purchased?,subscription,neutral,low,resolved
I was charged incorrectly on my bill.,order_issue,negative,medium,resolved
Why is my order status still pending?,wrong_item,positive,high,resolved
My login credentials are not working.,discount,negative,medium,unresolved
I want to cancel my subscription.,subscription,positive,medium,resolved
I am unable to track my package.,delivery,neutral,high,unresolved
I am unable to track my package.,refund,positive,low,pending
My login credentials are not working.,card_declined,neutral,low,unresolved
"I received a wrong item, can I exchange it?",card_declined,negative,low,pending
Do you offer discounts for students?,billing,negative,high,pending
How do I return an item I purchased?,technical_support,neutral,medium,unresolved
Can I get a refund for my last purchase?,app_crash,positive,low,resolved
My order has not arrived yet.,payment_issue,negative,high,unresolved
Can I speak to a human agent?,billing,negative,high,pending
"I received a wrong item, can I exchange it?",wrong_item,neutral,medium,pending
Can I speak to a human agent?,wrong_item,neutral,high,pending
I need help updating my account details.,refund,negative,low,unresolved
The internet connection is too slow.,tracking,negative,high,unresolved
Why is my order status still pending?,human_agent,negative,low,resolved
Why is my order status still pending?,subscription,negative,high,unresolved
I need help updating my account details.,account_update,positive,high,unresolved
I was charged incorrectly on my bill.,service_issue,neutral,low,resolved
The internet connection is too slow.,service_issue,negative,low,pending
I want to cancel my subscription.,subscription,negative,low,resolved
Can I upgrade my current subscription plan?,card_declined,neutral,medium,unresolved
How do I reset my password?,wrong_item,positive,high,resolved
"My payment failed, what should I do?",order_issue,positive,medium,pending
"My payment failed, what should I do?",order_status,positive,medium,resolved
"I received a wrong item, can I exchange it?",order_status,positive,high,unresolved
Why is my order status still pending?,subscription,neutral,low,pending
Can I speak to a human agent?,returns,negative,medium,pending
I was charged incorrectly on my bill.,delivery,negative,low,unresolved
The internet connection is too slow.,technical_support,positive,high,resolved
I need help updating my account details.,subscription,negative,medium,unresolved
"My payment failed, what should I do?",app_crash,neutral,high,resolved
"My credit card was declined, what now?",billing,negative,high,pending
"My payment failed, what should I do?",discount,positive,low,unresolved
Why is my order status still pending?,subscription,neutral,low,unresolved
Why is my order status still pending?,service_issue,positive,high,resolved
The internet connection is too slow.,order_status,positive,low,resolved
Why is my order status still pending?,upgrade,positive,medium,resolved
"My credit card was declined, what now?",discount,positive,medium,resolved
How do I reset my password?,subscription,positive,low,unresolved
Can I speak to a human agent?,refund,negative,low,resolved
I was charged incorrectly on my bill.,wrong_item,positive,medium,unresolved
I need help updating my account details.,delivery,neutral,medium,pending
I want to cancel my subscription.,billing,positive,low,resolved
I want to cancel my subscription.,wrong_item,positive,high,unresolved
"I received a wrong item, can I exchange it?",refund,negative,medium,unresolved
My order has not arrived yet.,human_agent,positive,medium,resolved
How do I change my delivery address?,delivery,negative,low,unresolved
I want to cancel my subscription.,order_issue,negative,high,pending
"My credit card was declined, what now?",discount,positive,medium,resolved
"My credit card was declined, what now?",service_issue,neutral,high,unresolved
My login credentials are not working.,human_agent,neutral,high,resolved
How do I return an item I purchased?,login_issue,negative,medium,unresolved
Can I speak to a human agent?,tracking,positive,medium,resolved
My order has not arrived yet.,payment_issue,positive,medium,resolved
My login credentials are not working.,order_status,negative,high,pending
"My credit card was declined, what now?",order_issue,positive,low,resolved
How do I change my delivery address?,app_crash,positive,high,pending
Can I speak to a human agent?,upgrade,positive,medium,unresolved
I need help updating my account details.,billing,negative,low,pending
How do I change my delivery address?,refund,neutral,medium,pending
How do I reset my password?,payment_issue,negative,high,pending
"I received a wrong item, can I exchange it?",discount,positive,medium,resolved
My order has not arrived yet.,subscription,negative,medium,resolved
"I received a wrong item, can I exchange it?",upgrade,neutral,high,resolved
"My mobile app keeps crashing, can you fix it?",returns,negative,low,pending
How do I reset my password?,order_issue,positive,medium,resolved
My order has not arrived yet.,account_update,neutral,high,pending
I need help updating my account details.,tracking,positive,medium,pending
"My mobile app keeps crashing, can you fix it?",account_update,positive,high,unresolved
How do I change my delivery address?,tracking,positive,low,resolved
My order has not arrived yet.,account_issue,negative,high,resolved
Can I get a refund for my last purchase?,human_agent,negative,high,pending
Do you offer discounts for students?,service_issue,positive,low,pending
I was charged incorrectly on my bill.,technical_support,negative,low,unresolved
Why is my order status still pending?,wrong_item,positive,high,pending
I need help updating my account details.,order_issue,positive,low,resolved
My login credentials are not working.,refund,negative,high,pending
How do I return an item I purchased?,billing,neutral,high,resolved
My login credentials are not working.,wrong_item,neutral,low,resolved
"My credit card was declined, what now?",subscription,positive,low,pending
Can I speak to a human agent?,wrong_item,negative,low,resolved
Can I upgrade my current subscription plan?,app_crash,neutral,high,unresolved
Why is my order status still pending?,billing,negative,high,resolved
I was charged incorrectly on my bill.,payment_issue,positive,medium,resolved
I want to cancel my subscription.,card_declined,neutral,medium,resolved
I want to cancel my subscription.,technical_support,negative,high,pending
How do I reset my password?,app_crash,positive,high,unresolved
"My credit card was declined, what now?",discount,positive,high,unresolved
My login credentials are not working.,subscription,negative,low,pending
"My credit card was declined, what now?",card_declined,neutral,medium,unresolved
"My credit card was declined, what now?",upgrade,negative,high,unresolved
How do I return an item I purchased?,subscription,negative,high,pending
My login credentials are not working.,delivery,negative,high,resolved
How do I reset my password?,service_issue,neutral,low,pending
The internet connection is too slow.,tracking,positive,low,resolved
I want to cancel my subscription.,billing,negative,medium,resolved
"My mobile app keeps crashing, can you fix it?",wrong_item,positive,low,pending
I need help updating my account details.,account_issue,negative,high,pending
I was charged incorrectly on my bill.,login_issue,positive,high,unresolved
How do I reset my password?,refund,negative,low,pending
I need help updating my account details.,payment_issue,neutral,high,pending
I need help updating my account details.,tracking,neutral,high,unresolved
Why is my order status still pending?,billing,negative,low,pending
"I received a wrong item, can I exchange it?",payment_issue,positive,medium,unresolved
The internet connection is too slow.,order_issue,positive,low,pending
My login credentials are not working.,discount,negative,low,pending
The internet connection is too slow.,login_issue,positive,high,pending
I am unable to track my package.,discount,neutral,high,pending
"My payment failed, what should I do?",order_issue,positive,medium,unresolved
Can I get a refund for my last purchase?,payment_issue,neutral,low,unresolved
Can I upgrade my current subscription plan?,account_issue,neutral,high,unresolved
My order has not arrived yet.,refund,positive,low,unresolved
How do I change my delivery address?,order_issue,neutral,high,unresolved
How do I change my delivery address?,account_update,negative,high,pending
The customer service number is not working.,app_crash,positive,high,unresolved
My order has not arrived yet.,account_issue,positive,high,unresolved
I was charged incorrectly on my bill.,account_issue,negative,low,unresolved
How do I change my delivery address?,human_agent,neutral,low,unresolved
My order has not arrived yet.,account_issue,positive,medium,resolved
Why is my order status still pending?,card_declined,positive,medium,pending
How do I change my delivery address?,delivery,positive,high,unresolved
I need help updating my account details.,discount,negative,high,unresolved
The internet connection is too slow.,human_agent,neutral,high,unresolved
The internet connection is too slow.,tracking,negative,high,pending
Can I upgrade my current subscription plan?,app_crash,positive,medium,resolved
I need help updating my account details.,upgrade,negative,low,pending
"I received a wrong item, can I exchange it?",returns,neutral,medium,unresolved
I need help updating my account details.,discount,positive,high,resolved
My order has not arrived yet.,subscription,neutral,medium,unresolved
"My credit card was declined, what now?",account_update,neutral,high,resolved
I need help updating my account details.,service_issue,positive,high,resolved
Can I upgrade my current subscription plan?,returns,neutral,low,unresolved
"My mobile app keeps crashing, can you fix it?",delivery,positive,high,pending
Do you offer discounts for students?,payment_issue,negative,medium,pending
Do you offer discounts for students?,returns,positive,low,pending
Do you offer discounts for students?,order_status,negative,medium,resolved
"I received a wrong item, can I exchange it?",human_agent,neutral,high,resolved
Can I upgrade my current subscription plan?,order_issue,negative,medium,resolved
I am unable to track my package.,app_crash,neutral,high,pending
Why is my order status still pending?,technical_support,negative,low,unresolved
"My credit card was declined, what now?",payment_issue,negative,high,pending
I am unable to track my package.,card_declined,neutral,high,resolved
"My payment failed, what should I do?",delivery,positive,medium,unresolved
"My mobile app keeps crashing, can you fix it?",subscription,positive,high,resolved
My order has not arrived yet.,discount,neutral,medium,pending
Can I speak to a human agent?,account_issue,neutral,high,unresolved
I am unable to track my package.,returns,positive,high,resolved
How do I return an item I purchased?,order_status,neutral,low,resolved
Can I get a refund for my last purchase?,payment_issue,neutral,medium,resolved
"My payment failed, what should I do?",technical_support,negative,medium,pending
The customer service number is not working.,subscription,negative,low,resolved
I want to cancel my subscription.,billing,negative,medium,unresolved
My login credentials are not working.,app_crash,neutral,medium,pending
Do you offer discounts for students?,tracking,positive,high,resolved
Can I speak to a human agent?,tracking,negative,medium,pending
"My mobile app keeps crashing, can you fix it?",discount,neutral,medium,pending
Why is my order status still pending?,order_issue,negative,high,unresolved
Can I upgrade my current subscription plan?,card_declined,negative,medium,pending
"I received a wrong item, can I exchange it?",tracking,neutral,medium,pending
How do I change my delivery address?,wrong_item,negative,medium,unresolved
How do I reset my password?,app_crash,negative,medium,resolved
"My credit card was declined, what now?",card_declined,negative,low,pending
I need help updating my account details.,discount,neutral,medium,pending
Can I speak to a human agent?,returns,negative,high,pending
How do I return an item I purchased?,order_status,positive,medium,unresolved
My login credentials are not working.,billing,neutral,high,pending
I need help updating my account details.,upgrade,negative,medium,pending
My login credentials are not working.,order_issue,neutral,medium,unresolved
The internet connection is too slow.,upgrade,neutral,high,unresolved
How do I reset my password?,subscription,negative,low,unresolved
The internet connection is too slow.,wrong_item,negative,low,resolved
Can I get a refund for my last purchase?,technical_support,positive,medium,pending
Can I get a refund for my last purchase?,refund,positive,low,unresolved
Can I upgrade my current subscription plan?,refund,negative,high,pending
How do I reset my password?,billing,positive,high,unresolved
How do I change my delivery address?,discount,positive,medium,pending
My login credentials are not working.,discount,neutral,low,unresolved
I was charged incorrectly on my bill.,payment_issue,positive,medium,pending
"My mobile app keeps crashing, can you fix it?",payment_issue,positive,medium,pending
How do I return an item I purchased?,order_status,negative,low,resolved
The internet connection is too slow.,order_issue,positive,medium,pending
How do I change my delivery address?,discount,negative,medium,unresolved
Can I speak to a human agent?,service_issue,positive,high,unresolved
How do I reset my password?,tracking,positive,medium,unresolved
"My mobile app keeps crashing, can you fix it?",subscription,neutral,high,pending
The internet connection is too slow.,returns,negative,low,unresolved
Can I get a refund for my last purchase?,technical_support,positive,low,unresolved
Do you offer discounts for students?,billing,neutral,low,pending
The internet connection is too slow.,card_declined,neutral,high,unresolved
I was charged incorrectly on my bill.,tracking,negative,medium,resolved
"My mobile app keeps crashing, can you fix it?",billing,positive,low,resolved
The customer service number is not working.,login_issue,negative,high,unresolved
How do I change my delivery address?,login_issue,positive,high,pending
My login credentials are not working.,technical_support,negative,low,unresolved
The customer service number is not working.,delivery,positive,medium,unresolved
I want to cancel my subscription.,card_declined,positive,medium,unresolved
My login credentials are not working.,billing,negative,high,resolved
Can I upgrade my current subscription plan?,refund,negative,medium,pending
The internet connection is too slow.,returns,negative,high,resolved
"My credit card was declined, what now?",human_agent,positive,high,resolved
Can I get a refund for my last purchase?,service_issue,neutral,high,unresolved
I need help updating my account details.,account_update,neutral,high,resolved
Can I upgrade my current subscription plan?,login_issue,negative,high,resolved
"My credit card was declined, what now?",billing,neutral,high,unresolved
"I received a wrong item, can I exchange it?",card_declined,neutral,medium,unresolved
"My mobile app keeps crashing, can you fix it?",order_issue,negative,high,pending
My login credentials are not working.,card_declined,negative,low,unresolved
Can I upgrade my current subscription plan?,account_issue,positive,low,unresolved
"My credit card was declined, what now?",app_crash,positive,high,resolved
I am unable to track my package.,delivery,positive,high,unresolved
I was charged incorrectly on my bill.,technical_support,positive,high,unresolved
How do I reset my password?,human_agent,negative,medium,resolved
I need help updating my account details.,card_declined,negative,medium,resolved
How do I change my delivery address?,order_issue,positive,low,resolved
I am unable to track my package.,technical_support,negative,high,pending
How do I reset my password?,app_crash,neutral,medium,resolved
"My credit card was declined, what now?",order_issue,positive,medium,unresolved
How do I return an item I purchased?,discount,positive,medium,resolved
Can I get a refund for my last purchase?,payment_issue,negative,high,unresolved
I was charged incorrectly on my bill.,login_issue,neutral,medium,unresolved
How do I reset my password?,order_issue,positive,high,resolved
How do I return an item I purchased?,delivery,neutral,medium,resolved
"My credit card was declined, what now?",subscription,negative,high,resolved
"My mobile app keeps crashing, can you fix it?",refund,negative,low,unresolved
Do you offer discounts for students?,order_status,negative,high,pending
"My payment failed, what should I do?",service_issue,positive,medium,unresolved
Why is my order status still pending?,payment_issue,neutral,high,resolved
Do you offer discounts for students?,account_issue,negative,high,resolved
How do I reset my password?,login_issue,positive,low,unresolved
How do I return an item I purchased?,delivery,positive,medium,resolved
My order has not arrived yet.,returns,positive,high,pending
How do I reset my password?,order_issue,neutral,low,resolved
"I received a wrong item, can I exchange it?",tracking,negative,low,resolved
Can I speak to a human agent?,payment_issue,neutral,high,pending
"My mobile app keeps crashing, can you fix it?",account_issue,positive,low,pending
Can I upgrade my current subscription plan?,technical_support,negative,high,unresolved
"My mobile app keeps crashing, can you fix it?",billing,positive,medium,pending
The customer service number is not working.,tracking,positive,high,pending
Can I upgrade my current subscription plan?,technical_support,negative,low,unresolved
I want to cancel my subscription.,app_crash,negative,medium,pending
How do I reset my password?,order_issue,positive,low,resolved
Can I get a refund for my last purchase?,account_update,positive,low,resolved
The internet connection is too slow.,wrong_item,neutral,high,resolved
Why is my order status still pending?,upgrade,positive,low,resolved
Can I upgrade my current subscription plan?,refund,neutral,medium,pending
Do you offer discounts for students?,order_issue,neutral,medium,unresolved
Can I get a refund for my last purchase?,discount,negative,medium,resolved
The customer service number is not working.,refund,neutral,medium,unresolved
I am unable to track my package.,account_issue,negative,low,pending
Can I upgrade my current subscription plan?,wrong_item,positive,low,resolved
The customer service number is not working.,subscription,positive,high,unresolved
My order has not arrived yet.,billing,negative,high,unresolved
I want to cancel my subscription.,card_declined,neutral,low,resolved
The customer service number is not working.,technical_support,negative,low,pending
"I received a wrong item, can I exchange it?",delivery,positive,high,pending
I need help updating my account details.,refund,negative,high,resolved
I am unable to track my package.,app_crash,positive,medium,resolved
"My mobile app keeps crashing, can you fix it?",account_update,negative,high,resolved
"My mobile app keeps crashing, can you fix it?",account_issue,positive,medium,resolved
My login credentials are not working.,account_issue,negative,low,resolved
I want to cancel my subscription.,order_issue,negative,medium,unresolved
How do I reset my password?,discount,positive,medium,unresolved
I want to cancel my subscription.,card_declined,neutral,high,pending
My login credentials are not working.,order_status,negative,low,resolved
I was charged incorrectly on my bill.,returns,positive,medium,pending
Can I speak to a human agent?,discount,neutral,low,unresolved
Can I get a refund for my last purchase?,technical_support,negative,high,unresolved
Can I speak to a human agent?,refund,negative,high,unresolved
Why is my order status still pending?,account_issue,neutral,high,pending
Can I speak to a human agent?,card_declined,neutral,low,unresolved
How do I return an item I purchased?,wrong_item,neutral,low,pending
My login credentials are not working.,app_crash,neutral,high,pending
I want to cancel my subscription.,order_issue,neutral,low,pending
My order has not arrived yet.,upgrade,neutral,medium,resolved
The customer service number is not working.,human_agent,positive,medium,pending
"My mobile app keeps crashing, can you fix it?",subscription,negative,low,resolved
How do I change my delivery address?,returns,negative,medium,pending
My login credentials are not working.,order_issue,negative,low,unresolved
I want to cancel my subscription.,app_crash,positive,low,pending
Do you offer discounts for students?,account_issue,neutral,high,pending
My order has not arrived yet.,service_issue,positive,medium,unresolved
Can I speak to a human agent?,card_declined,negative,medium,pending
My order has not arrived yet.,account_update,negative,low,pending
How do I return an item I purchased?,discount,neutral,medium,unresolved
The internet connection is too slow.,account_issue,positive,high,pending
Can I get a refund for my last purchase?,order_status,neutral,high,unresolved
The customer service number is not working.,service_issue,positive,medium,unresolved
Can I speak to a human agent?,upgrade,negative,low,pending
The internet connection is too slow.,order_status,positive,medium,unresolved
I need help updating my account details.,payment_issue,negative,medium,unresolved
How do I change my delivery address?,payment_issue,neutral,high,resolved
The customer service number is not working.,card_declined,positive,high,resolved
Can I get a refund for my last purchase?,payment_issue,negative,high,resolved
My login credentials are not working.,payment_issue,negative,low,resolved
Can I get a refund for my last purchase?,upgrade,negative,high,pending
"My mobile app keeps crashing, can you fix it?",order_status,positive,high,unresolved
"My credit card was declined, what now?",wrong_item,positive,low,pending
How do I return an item I purchased?,discount,negative,low,unresolved
My order has not arrived yet.,account_update,positive,medium,pending
The internet connection is too slow.,account_update,positive,low,unresolved
"My mobile app keeps crashing, can you fix it?",refund,neutral,low,unresolved
"My credit card was declined, what now?",card_declined,positive,medium,pending
Do you offer discounts for students?,subscription,negative,low,pending
I was charged incorrectly on my bill.,discount,negative,low,pending
I want to cancel my subscription.,wrong_item,negative,high,resolved
"My payment failed, what should I do?",tracking,negative,low,resolved
The customer service number is not working.,discount,neutral,high,resolved
"My mobile app keeps crashing, can you fix it?",tracking,neutral,low,unresolved
I am unable to track my package.,returns,positive,high,resolved
I need help updating my account details.,discount,negative,medium,pending
I am unable to track my package.,order_issue,negative,high,pending
The internet connection is too slow.,login_issue,neutral,low,resolved
The internet connection is too slow.,payment_issue,neutral,medium,resolved
Can I get a refund for my last purchase?,payment_issue,negative,high,unresolved
How do I reset my password?,upgrade,negative,low,pending
I am unable to track my package.,upgrade,positive,low,pending
"My mobile app keeps crashing, can you fix it?",login_issue,negative,low,unresolved
"My payment failed, what should I do?",technical_support,negative,low,resolved
"I received a wrong item, can I exchange it?",delivery,neutral,low,unresolved
"My mobile app keeps crashing, can you fix it?",delivery,positive,high,unresolved
"My mobile app keeps crashing, can you fix it?",subscription,negative,high,pending
The customer service number is not working.,upgrade,neutral,high,resolved
Do you offer discounts for students?,wrong_item,negative,low,resolved
How do I return an item I purchased?,account_update,neutral,low,resolved
How do I return an item I purchased?,returns,neutral,medium,unresolved
I need help updating my account details.,upgrade,positive,low,resolved
I am unable to track my package.,app_crash,positive,medium,unresolved
"My mobile app keeps crashing, can you fix it?",returns,negative,low,unresolved
The internet connection is too slow.,refund,positive,high,resolved
"My payment failed, what should I do?",payment_issue,neutral,high,pending
How do I reset my password?,card_declined,negative,medium,resolved
I need help updating my account details.,app_crash,neutral,low,unresolved
Do you offer discounts for students?,service_issue,negative,low,pending
Can I upgrade my current subscription plan?,card_declined,positive,high,unresolved
Can I speak to a human agent?,refund,negative,medium,resolved
I was charged incorrectly on my bill.,delivery,positive,high,resolved
How do I return an item I purchased?,tracking,neutral,high,pending
My order has not arrived yet.,app_crash,neutral,high,unresolved
Can I upgrade my current subscription plan?,payment_issue,neutral,low,resolved
I need help updating my account details.,human_agent,positive,low,resolved
I am unable to track my package.,subscription,positive,low,resolved
My order has not arrived yet.,technical_support,positive,low,resolved
"My mobile app keeps crashing, can you fix it?",wrong_item,negative,high,resolved
The internet connection is too slow.,account_issue,positive,medium,unresolved
Why is my order status still pending?,technical_support,neutral,low,resolved
"My mobile app keeps crashing, can you fix it?",wrong_item,negative,high,pending
Can I speak to a human agent?,login_issue,positive,low,unresolved
Can I get a refund for my last purchase?,delivery,positive,high,pending
"My mobile app keeps crashing, can you fix it?",order_issue,positive,medium,pending
The internet connection is too slow.,wrong_item,neutral,low,resolved
Can I upgrade my current subscription plan?,delivery,negative,high,pending
How do I return an item I purchased?,subscription,negative,high,resolved
The internet connection is too slow.,returns,negative,low,unresolved
"My payment failed, what should I do?",technical_support,negative,medium,unresolved
My login credentials are not working.,tracking,negative,low,unresolved
"My mobile app keeps crashing, can you fix it?",returns,neutral,medium,resolved
My order has not arrived yet.,subscription,neutral,medium,unresolved
"I received a wrong item, can I exchange it?",wrong_item,positive,high,pending
I want to cancel my subscription.,login_issue,positive,high,unresolved
The internet connection is too slow.,login_issue,positive,high,pending
My order has not arrived yet.,returns,negative,low,pending
I need help updating my account details.,human_agent,neutral,high,pending
"I received a wrong item, can I exchange it?",service_issue,negative,high,unresolved
"I received a wrong item, can I exchange it?",subscription,positive,high,unresolved
I need help updating my account details.,login_issue,positive,medium,pending
Can I get a refund for my last purchase?,discount,positive,low,unresolved
The internet connection is too slow.,billing,negative,medium,pending
"My mobile app keeps crashing, can you fix it?",wrong_item,neutral,low,unresolved
Can I upgrade my current subscription plan?,tracking,neutral,low,resolved
My login credentials are not working.,order_status,neutral,low,pending
How do I return an item I purchased?,wrong_item,neutral,low,unresolved
I want to cancel my subscription.,tracking,negative,high,pending
The customer service number is not working.,subscription,positive,high,pending
Do you offer discounts for students?,login_issue,negative,medium,pending
The customer service number is not working.,app_crash,negative,medium,pending
The internet connection is too slow.,technical_support,negative,low,pending
I am unable to track my package.,upgrade,neutral,medium,resolved
My order has not arrived yet.,billing,positive,high,resolved
The internet connection is too slow.,order_status,negative,low,pending
I want to cancel my subscription.,login_issue,positive,medium,unresolved
Can I speak to a human agent?,returns,neutral,low,unresolved
My login credentials are not working.,upgrade,negative,high,unresolved
I am unable to track my package.,account_update,negative,medium,pending
I need help updating my account details.,order_issue,negative,high,pending
Can I get a refund for my last purchase?,order_status,negative,medium,resolved
"My payment failed, what should I do?",payment_issue,positive,high,unresolved
How do I return an item I purchased?,app_crash,positive,high,pending
My order has not arrived yet.,subscription,negative,medium,resolved
Why is my order status still pending?,delivery,negative,low,unresolved
Can I get a refund for my last purchase?,human_agent,neutral,medium,pending
I am unable to track my package.,wrong_item,positive,high,unresolved
Why is my order status still pending?,account_update,negative,high,pending
Can I upgrade my current subscription plan?,payment_issue,positive,low,unresolved
"I received a wrong item, can I exchange it?",discount,neutral,low,pending
How do I change my delivery address?,tracking,positive,low,resolved
Can I get a refund for my last purchase?,wrong_item,negative,high,unresolved
I want to cancel my subscription.,discount,negative,high,resolved
"I received a wrong item, can I exchange it?",human_agent,neutral,medium,unresolved
Can I speak to a human agent?,human_agent,neutral,high,pending
Do you offer discounts for students?,login_issue,neutral,low,unresolved
I want to cancel my subscription.,wrong_item,negative,low,pending
"My payment failed, what should I do?",billing,neutral,high,unresolved
Do you offer discounts for students?,payment_issue,positive,high,unresolved
"My payment failed, what should I do?",service_issue,negative,medium,unresolved
The customer service number is not working.,human_agent,negative,high,resolved
I need help updating my account details.,billing,neutral,medium,pending
I need help updating my account details.,billing,negative,medium,pending
I am unable to track my package.,subscription,neutral,medium,resolved
My login credentials are not working.,service_issue,negative,medium,resolved
How do I return an item I purchased?,order_issue,negative,high,resolved
"I received a wrong item, can I exchange it?",discount,negative,high,resolved
How do I change my delivery address?,wrong_item,neutral,medium,resolved
"My mobile app keeps crashing, can you fix it?",account_update,neutral,high,unresolved
The internet connection is too slow.,app_crash,positive,medium,unresolved
"My credit card was declined, what now?",refund,negative,low,unresolved
I want to cancel my subscription.,billing,negative,low,unresolved
The internet connection is too slow.,returns,negative,low,pending
I want to cancel my subscription.,refund,positive,medium,resolved
Why is my order status still pending?,returns,negative,low,pending
Can I get a refund for my last purchase?,tracking,negative,high,resolved
I need help updating my account details.,account_update,positive,high,unresolved
I want to cancel my subscription.,subscription,positive,high,unresolved
Can I upgrade my current subscription plan?,wrong_item,positive,high,resolved
Can I speak to a human agent?,returns,negative,medium,resolved
Can I speak to a human agent?,account_issue,neutral,low,pending
I was charged incorrectly on my bill.,billing,positive,high,resolved
My login credentials are not working.,order_issue,negative,low,pending
I want to cancel my subscription.,app_crash,neutral,medium,unresolved
"My mobile app keeps crashing, can you fix it?",technical_support,negative,high,resolved
Do you offer discounts for students?,card_declined,negative,high,pending
The internet connection is too slow.,tracking,neutral,medium,resolved
I was charged incorrectly on my bill.,account_update,negative,high,pending
I want to cancel my subscription.,app_crash,negative,low,resolved
Can I get a refund for my last purchase?,human_agent,negative,high,pending
Do you offer discounts for students?,card_declined,positive,high,unresolved
How do I reset my password?,account_update,positive,high,unresolved
My order has not arrived yet.,refund,negative,medium,resolved
My login credentials are not working.,service_issue,negative,high,pending
How do I reset my password?,discount,neutral,low,pending
Do you offer discounts for students?,returns,negative,high,unresolved
How do I change my delivery address?,account_update,negative,high,resolved
Can I speak to a human agent?,card_declined,positive,medium,pending
I want to cancel my subscription.,tracking,positive,high,resolved
I need help updating my account details.,billing,neutral,low,resolved
Can I upgrade my current subscription plan?,app_crash,neutral,medium,resolved
The internet connection is too slow.,tracking,negative,medium,resolved
My login credentials are not working.,order_status,positive,low,resolved
Can I upgrade my current subscription plan?,payment_issue,positive,low,pending
Can I get a refund for my last purchase?,delivery,negative,high,resolved
How do I return an item I purchased?,technical_support,negative,high,unresolved
How do I reset my password?,subscription,negative,medium,pending
The customer service number is not working.,returns,positive,high,resolved
The customer service number is not working.,login_issue,neutral,high,resolved
How do I change my delivery address?,billing,positive,medium,resolved
"My credit card was declined, what now?",technical_support,neutral,low,resolved
I was charged incorrectly on my bill.,payment_issue,negative,low,unresolved
My login credentials are not working.,order_status,neutral,high,resolved
The internet connection is too slow.,human_agent,negative,medium,unresolved
How do I reset my password?,payment_issue,negative,medium,pending
The internet connection is too slow.,discount,neutral,low,resolved
The internet connection is too slow.,tracking,positive,high,pending
How do I return an item I purchased?,billing,negative,medium,resolved
Do you offer discounts for students?,payment_issue,neutral,medium,resolved
"My credit card was declined, what now?",login_issue,positive,low,resolved
I want to cancel my subscription.,order_status,positive,medium,resolved
I need help updating my account details.,upgrade,positive,medium,resolved
The customer service number is not working.,human_agent,negative,high,pending
Can I upgrade my current subscription plan?,account_issue,positive,medium,pending
The internet connection is too slow.,card_declined,positive,high,unresolved
Can I upgrade my current subscription plan?,payment_issue,negative,low,pending
I was charged incorrectly on my bill.,technical_support,negative,medium,pending
Do you offer discounts for students?,tracking,positive,low,unresolved
My order has not arrived yet.,order_issue,neutral,medium,resolved
How do I reset my password?,payment_issue,positive,medium,resolved
The customer service number is not working.,technical_support,neutral,high,pending
How do I return an item I purchased?,delivery,negative,medium,pending
"My credit card was declined, what now?",account_issue,neutral,medium,resolved
My order has not arrived yet.,order_issue,negative,high,unresolved
"I received a wrong item, can I exchange it?",wrong_item,negative,high,unresolved
My login credentials are not working.,account_issue,neutral,high,resolved
I am unable to track my package.,account_update,positive,low,resolved
Why is my order status still pending?,wrong_item,negative,medium,pending
My login credentials are not working.,wrong_item,negative,medium,unresolved
I am unable to track my package.,billing,neutral,medium,resolved
How do I return an item I purchased?,discount,negative,high,resolved
Why is my order status still pending?,card_declined,negative,low,pending
How do I change my delivery address?,wrong_item,neutral,medium,unresolved
"My payment failed, what should I do?",refund,negative,medium,unresolved
How do I reset my password?,technical_support,neutral,medium,unresolved
I want to cancel my subscription.,app_crash,neutral,low,pending
